date,count
2020-01-01 00,11.57
2020-01-01 01,17.83
2020-01-01 02,11.33
2020-01-01 03,7.35
2020-01-01 04,4.43
2020-01-01 05,3.14
2020-01-01 06,2.36
2020-01-01 07,3.96
2020-01-01 08,3.98
2020-01-01 09,5.74
2020-01-01 10,8.57
2020-01-01 11,12.56
2020-01-01 12,16.19
2020-01-01 13,17.86
2020-01-01 14,17.7
2020-01-01 15,19.1
2020-01-01 16,18.95
2020-01-01 17,13.73
2020-01-01 18,11.89
2020-01-01 19,9.17
2020-01-01 20,8.71
2020-01-01 21,7.86
2020-01-01 22,6.26
2020-01-01 23,4.85
2020-01-02 00,3.67
2020-01-02 01,2.32
2020-01-02 02,1.01
2020-01-02 03,1.45
2020-01-02 04,1.57
2020-01-02 05,1.98
2020-01-02 06,5.1
2020-01-02 07,16.18
2020-01-02 08,34.05
2020-01-02 09,29.51
2020-01-02 10,17.54
2020-01-02 11,17.98
2020-01-02 12,22.62
2020-01-02 13,23.5
2020-01-02 14,20.8
2020-01-02 15,21.81
2020-01-02 16,25.65
2020-01-02 17,36.67
2020-01-02 18,33.7
2020-01-02 19,20.48
2020-01-02 20,14.57
2020-01-02 21,12.7
2020-01-02 22,9.65
2020-01-02 23,7.15
2020-01-03 00,4.14
2020-01-03 01,2.11
2020-01-03 02,0.81
2020-01-03 03,1.5
2020-01-03 04,1.38
2020-01-03 05,2.1
2020-01-03 06,4.62
2020-01-03 07,14.04
2020-01-03 08,32.4
2020-01-03 09,31.35
2020-01-03 10,17.45
2020-01-03 11,16.94
2020-01-03 12,20.87
2020-01-03 13,23.9
2020-01-03 14,21.9
2020-01-03 15,23.14
2020-01-03 16,29.42
2020-01-03 17,35.63
2020-01-03 18,30.93
2020-01-03 19,18.31
2020-01-03 20,15.1
2020-01-03 21,11.39
2020-01-03 22,9.73
2020-01-03 23,7.12
2020-01-04 00,5.75
2020-01-04 01,3.7
2020-01-04 02,2.3
2020-01-04 03,1.55
2020-01-04 04,1.36
2020-01-04 05,1.36
2020-01-04 06,1.61
2020-01-04 07,3.73
2020-01-04 08,8.49
2020-01-04 09,13.32
2020-01-04 10,18.46
2020-01-04 11,21.73
2020-01-04 12,25.3
2020-01-04 13,26.23
2020-01-04 14,26.98
2020-01-04 15,28.62
2020-01-04 16,25.26
2020-01-04 17,22.19
2020-01-04 18,17.98
2020-01-04 19,14.46
2020-01-04 20,13.4
2020-01-04 21,9.39
2020-01-04 22,9.38
2020-01-04 23,8.23
2020-01-05 00,6.38
2020-01-05 01,4.54
2020-01-05 02,2.38
2020-01-05 03,1.94
2020-01-05 04,1.68
2020-01-05 05,1.52
2020-01-05 06,1.27
