date,count
2020-01-01 00,31.775
2020-01-01 01,51.2375
2020-01-01 02,53.0875
2020-01-01 03,53.6
2020-01-01 04,50.5125
2020-01-01 05,36.5375
2020-01-01 06,24.9125
2020-01-01 07,15.4375
2020-01-01 08,12.3625
2020-01-01 09,14.2
2020-01-01 10,19.6375
2020-01-01 11,28.1125
2020-01-01 12,38.3625
2020-01-01 13,44.025
2020-01-01 14,46.95
2020-01-01 15,50.375
2020-01-01 16,56.3875
2020-01-01 17,55.2625
2020-01-01 18,56.9125
2020-01-01 19,54.675
2020-01-01 20,42.5375
2020-01-01 21,33.9625
2020-01-01 22,26.8
2020-01-01 23,25.9875
2020-01-02 00,19.95
2020-01-02 01,8.3625
2020-01-02 02,8.4625
2020-01-02 03,4.6875
2020-01-02 04,3.95
2020-01-02 05,5.325
2020-01-02 06,15.25
2020-01-02 07,35.7875
2020-01-02 08,68.175
2020-01-02 09,77.825
2020-01-02 10,54.4875
2020-01-02 11,49.8375
2020-01-02 12,14.425
2020-01-02 13,55.6375
2020-01-02 14,61.9
2020-01-02 15,63.775
2020-01-02 16,71.65
2020-01-02 17,90.725
2020-01-02 18,106.625
2020-01-02 19,99.6625
2020-01-02 20,76.8
2020-01-02 21,57.0875
2020-01-02 22,50.1
2020-01-02 23,43.975
2020-01-03 00,32.3375
2020-01-03 01,18.0125
2020-01-03 02,14.0125
2020-01-03 03,7.9125
2020-01-03 04,4.6875
2020-01-03 05,7.1125
2020-01-03 06,16.35
2020-01-03 07,33.175
2020-01-03 08,73.4875
2020-01-03 09,83.6125
2020-01-03 10,61.825
2020-01-03 11,56.9875
2020-01-03 12,71.6
2020-01-03 13,71.8
2020-01-03 14,70.45
2020-01-03 15,71.5125
2020-01-03 16,84.025
2020-01-03 17,101.1
2020-01-03 18,102.1
2020-01-03 19,99.075
2020-01-03 20,89.6875
2020-01-03 21,69.2125
2020-01-03 22,57.95
2020-01-03 23,52.3875
2020-01-04 00,45.4375
2020-01-04 01,33.65
2020-01-04 02,25.375
2020-01-04 03,14
2020-01-04 04,10.05
2020-01-04 05,9.8375
2020-01-04 06,11.175
2020-01-04 07,15
2020-01-04 08,26.25
2020-01-04 09,44.375
2020-01-04 10,63.8875
2020-01-04 11,71.8375
2020-01-04 12,78.7375
2020-01-04 13,78.5375
2020-01-04 14,74.525
2020-01-04 15,79.1625
2020-01-04 16,83.4625
2020-01-04 17,88.325
2020-01-04 18,94.8375
2020-01-04 19,96.9
2020-01-04 20,92.7125
2020-01-04 21,75.075
2020-01-04 22,59.9375
2020-01-04 23,58.4125
2020-01-05 00,54.825
2020-01-05 01,40.1875
2020-01-05 02,29.1375
2020-01-05 03,19.4875
2020-01-05 04,13.4625
2020-01-05 05,10.05
2020-01-05 06,10.925
2020-01-05 07,11.05
2020-01-05 08,17.575
2020-01-05 09,30.825
2020-01-05 10,49.8125
2020-01-05 11,58.8375
2020-01-05 12,69.3375
2020-01-05 13,69.75
2020-01-05 14,69.025
2020-01-05 15,71.075
2020-01-05 16,76.3875
2020-01-05 17,85
2020-01-05 18,86.35
2020-01-05 19,81.8375
2020-01-05 20,66.6375
2020-01-05 21,47.2875
2020-01-05 22,39.6
2020-01-05 23,34.3625
2020-01-06 00,18.3
2020-01-06 01,8.0125
2020-01-06 02,6.5
2020-01-06 03,5.4625
2020-01-06 04,4.4125
2020-01-06 05,8.4375
2020-01-06 06,22.6625
2020-01-06 07,67.5375
2020-01-06 08,93.3875
2020-01-06 09,95.1
2020-01-06 10,67.35
2020-01-06 11,57.9125
2020-01-06 12,69.35
2020-01-06 13,73.925
2020-01-06 14,68.9875
2020-01-06 15,72.2375
2020-01-06 16,83.075
2020-01-06 17,97.1375
2020-01-06 18,102.3625
2020-01-06 19,96.3375
2020-01-06 20,80.3625
2020-01-06 21,54.2625
2020-01-06 22,41.8
2020-01-06 23,30.2625
2020-01-07 00,20.425
2020-01-07 01,9.15
2020-01-07 02,7.0875
2020-01-07 03,3.25
2020-01-07 04,2.625
2020-01-07 05,8.2125
2020-01-07 06,22.45
2020-01-07 07,68.6875
2020-01-07 08,100.125
2020-01-07 09,93.0375
2020-01-07 10,72.925
2020-01-07 11,62.1125
2020-01-07 12,73.625
2020-01-07 13,77.8625
2020-01-07 14,74.7125
2020-01-07 15,73.95
2020-01-07 16,87.7375
2020-01-07 17,103.4625
2020-01-07 18,105.1375
2020-01-07 19,100.1
2020-01-07 20,84.55
2020-01-07 21,65.4
2020-01-07 22,52.15
2020-01-07 23,44.2125
2020-01-08 00,27.7875
2020-01-08 01,11.6125
2020-01-08 02,9.1375
2020-01-08 03,3.9875
2020-01-08 04,3.9375
2020-01-08 05,6.4125
2020-01-08 06,21.1625
2020-01-08 07,70.3125
2020-01-08 08,98.6125
2020-01-08 09,91.8875
2020-01-08 10,75.475
2020-01-08 11,63.1125
2020-01-08 12,80.0625
2020-01-08 13,84.5375
2020-01-08 14,83.2125
2020-01-08 15,79.7625
2020-01-08 16,88.0625
2020-01-08 17,101.05
2020-01-08 18,111.2625
2020-01-08 19,96.525
2020-01-08 20,89.6625
2020-01-08 21,67.5
2020-01-08 22,55.85
2020-01-08 23,54.125
2020-01-09 00,33.9875
2020-01-09 01,14.1375
2020-01-09 02,8.525
2020-01-09 03,5.95
2020-01-09 04,3.525
2020-01-09 05,6.8875
2020-01-09 06,20.8375
2020-01-09 07,63.6625
2020-01-09 08,97.7625
2020-01-09 09,89.8
2020-01-09 10,71.5125
2020-01-09 11,64.45
2020-01-09 12,76.9875
2020-01-09 13,86.1625
2020-01-09 14,83.8875
2020-01-09 15,82.5375
2020-01-09 16,92.5625
2020-01-09 17,89.7625
2020-01-09 18,100.3375
2020-01-09 19,100.375
2020-01-09 20,88.125
2020-01-09 21,6.05
2020-01-09 22,72.6625
2020-01-09 23,48.625
2020-01-10 00,32.075
2020-01-10 01,16.6375
2020-01-10 02,9.7375
2020-01-10 03,5.55
2020-01-10 04,3.7125
2020-01-10 05,6.9375
2020-01-10 06,19.025
2020-01-10 07,62.45
2020-01-10 08,97.3625
2020-01-10 09,93.9625
2020-01-10 10,70.2125
2020-01-10 11,60.4
2020-01-10 12,71.925
2020-01-10 13,78.0625
2020-01-10 14,80.2375
2020-01-10 15,87.2375
2020-01-10 16,94.65
2020-01-10 17,107.525
2020-01-10 18,106.4875
2020-01-10 19,103.35
2020-01-10 20,103.4875
2020-01-10 21,85.7
2020-01-10 22,70.3625
2020-01-10 23,62.5
2020-01-11 00,53.725
2020-01-11 01,41.6125
2020-01-11 02,32.9
2020-01-11 03,20.25
2020-01-11 04,14.9625
2020-01-11 05,13.2625
2020-01-11 06,14.1875
2020-01-11 07,28
2020-01-11 08,46.4125
2020-01-11 09,53.55
2020-01-11 10,66.875
2020-01-11 11,70.9375
2020-01-11 12,82.75
2020-01-11 13,85.1625
2020-01-11 14,80.35
2020-01-11 15,82.85
2020-01-11 16,87.7125
2020-01-11 17,93.725
2020-01-11 18,103.7375
2020-01-11 19,102.0375
2020-01-11 20,94.9625
2020-01-11 21,83.65
2020-01-11 22,65.325
2020-01-11 23,60.4125
2020-01-12 00,59.3375
2020-01-12 01,49.425
2020-01-12 02,33.7875
2020-01-12 03,23.6875
2020-01-12 04,16.7875
2020-01-12 05,13.0625
2020-01-12 06,12.3625
2020-01-12 07,13.2
2020-01-12 08,21.5
2020-01-12 09,35.7875
2020-01-12 10,53.3125
2020-01-12 11,60.8875
2020-01-12 12,70.8625
2020-01-12 13,71.35
2020-01-12 14,66.6375
2020-01-12 15,69.3875
2020-01-12 16,73.975
2020-01-12 17,80.6375
2020-01-12 18,86.1875
2020-01-12 19,81.9125
